"romaji","hiragana","definition","priority","type","japanese"
"kaihatsu","かいはつ","development or exploitation of natural resources etc.","105","Unknown","開発"
"-fun","ふん","minutes (duration)","106","Counter","分"
"nishi","にし","the west","107","Noun","西"
"tetsudō","てつどう","railway","108","Noun","鉄道"
"hō","ほう","principle","109","Noun","法"
"tsubone","つぼね","a court lady","110","Noun","局"
"sarani","さらに","even more","111","Unknown","更に"
"nomi","のみ","only; limited to","112","Unknown","のみ"
"aida","あいだ","a space","113","Noun","間"
"yama","やま","a mountain (large mass of earth and rock)","114","Noun","山"
"shiki","しき","type, style","115","Noun","式"
"shima","しま","an island","116","Noun","島"
"nao","なお","furthermore, in addition","117","Unknown","なお"
"kanō","かのう","possible","118","Adjective","可能"
"Doitsu","ドイツ","Germany","119","Proper noun","ドイツ"
"daihyō","だいひょう","the representative, the representation, the delegation, an example","120","Unknown","代表"
"tsukau","つかう","to use","121","Verb","使う"
"onaji","おなじ","same","122","Unknown","同じ"
"kyoku","きょく","a piece of music","123","Noun","曲"
"chiiki","ちいき","area, district, particular geographic region","124","Unknown","地域"
"saku","さく","a work, a production (particularly a cultural work, such as a work of art, of literature, or of theatre)","125","Noun","作"
"koto","こと","broadly, any abstract thing, affair, matter, or fact","126","Noun","事"
"Error","","","127","",""
"toru","とる","to take; (board games) to capture","128","Verb","取る"
"tōjō","とうじょう","entrance in a performance","129","Noun","登場"
"chīmu","チーム","team","130","Noun","チーム"
"-sei","せい","generations","131","Counter","世"
"jikan","じかん","time","132","Noun","時間"
"okeru","おける","in","133","Unknown","於ける"
"chūshin","ちゅうしん","center, middle, heart, core (physical center)","134","Noun","中心"
"taikai","たいかい","convention; rally; mass meeting","135","Unknown","大会"
"ōku","おおく","largely; mostly","136","Unknown","多く"
"minami","みなみ","south","137","Noun","南"
"shirīzu","シリーズ","series","138","Noun","シリーズ"
"-shō","しょう","prize, award","139","Suffix","賞"
"kita","きた","north","140","Noun","北"
"kaishi","かいし","start; beginning; initiation","141","Noun","開始"
"Furansu","フランス","France (country)","142","Proper noun","フランス"
"ichibu","いちぶ","part, portion","143","Unknown","一部"
"hajimeru","はじめる","begin; start; initiate; originate","144","Unknown","始める"
"Heisei","へいせい","The Heisei era; the Japanese era beginning on 8 January 1989.","145","Proper noun","平成"
"shiru","しる","know something","146","Unknown","知る"
"ko","こ","a child","147","Noun","子"
"gēmu","ゲーム","a game","148","Noun","ゲーム"
"dō","どう","tao, Taoism","149","Noun","道"
"kado","かど","A corner (e.g., of a desk; compare 隅).","150","Noun","角"
"mochīru","もちいる","to use","151","Verb","用いる"
"oyobi","および","and","152","Conjunction","および"
"yakata","やかた","a roofed structure on a boat, shaped like a house","153","Noun","館"
"ba","ば","a place","154","Noun","場"
"karada","からだ","body","155","Noun","体"
"seiki","せいき","century (100 years)","156","Noun","世紀"
"ongaku","おんがく","music","157","Noun","音楽"
"sanka","さんか","participation, commitment","158","Unknown","参加"
"happyō","はっぴょう","announcement; publication; presentation","159","Noun","発表"
"kiroku","きろく","record (most extreme known value of some achievement), such as in sports","160","Noun","記録"
"kakeru","かける","(transitive) hang (a picture, etc.); hoist; raise (a flag); fly (a kite)","161","Unknown","掛ける"
"takai","たかい","high, tall","162","Adjective","高い"
"riyō","りよう","use, usage, utilization, application","163","Noun","利用"
"sai","さい","time; occasion","164","Noun","際"
"shutsujō","しゅつじょう","appearance on stage","165","Unknown","出場"
"kokusai","こくさい","The quality of being international.","166","Noun","国際"
"rīgu","リーグ","league","167","Unknown","リーグ"
"shozoku","しょぞく","affiliation","168","Unknown","所属"
"tsutomeru","つとめる","to assume a role","169","Unknown","務める"
"kankei","かんけい","relationship, relation","170","Noun","関係"
"kangaeru","かんがえる","think","171","Verb","考える"
"Igirisu","イギリス","the United Kingdom; the UK","172","Proper noun","イギリス"
"umareru","うまれる","be born","173","Verb","生まれる"
"hairu","はいる","to enter, go into, get into","174","Verb","入る"
"tabi","たび","time; whenever","175","Noun","度"
"shū","しゅう","state (political entity)","176","Noun","州"
"subete","すべて","entirely; all","177","Adverb","全て"
"Meiji","めいじ","the Japanese era beginning in 1868 and ending in 1912.","178","Proper noun","明治"
"nama","なま","raw","179","Noun","生"
"-ten","てん","items or goods","180","Counter","点"
"chikara","ちから","strength; power; force","181","Noun","力"
"yoi","よい","good","182","Adjective","良い"
"dake","だけ","only, limit","183","Unknown","だけ"
"ō","おう","king","184","Noun","王"
"shiai","しあい","(sports) match, game","185","Noun","試合"
"eru","える","get, acquire, gain, obtain, win, catch","186","Verb","得る"
"yūshō","ゆうしょう","a first-place victory, particularly in a championship; winning the title","187","Unknown","優勝"
"toshi","とし","city; town","188","Noun","都市"
"fukumu","ふくむ","include, contain","189","Verb","含む"
"arubamu","アルバム","photo album","190","Unknown","アルバム"
"komu","こむ","be crowded","191","Verb","込む"
"mondai","もんだい","question, problem on homework etc.","192","Noun","問題"
"shīzun","シーズン","season","193","Unknown","シーズン"
"kaisai","かいさい","holding a conference or event","194","Noun","開催"
"Ōsaka","おおさか","Ōsaka, a prefecture of Japan.","195","Proper noun","大阪"
"ichi","いち","location, position","196","Unknown","位置"
"kantoku","かんとく","director, supervisor, manager, superintendent","197","Unknown","監督"
"ue","うえ","the above","198","Noun","上"
"omo","おも","chief, main, principal, foremost","199","Adjectival noun","主"
"setchi","せっち","establishment, foundation, setting up (a business etc.)","200","Unknown","設置"
"gun","ぐん","county, district","201","Noun","郡"
"sensō","せんそう","war (conflict involving organized use of arms)","202","Noun","戦争"
"mono","もの","thing","203","Noun","物"
"kan","かん","warship","204","Noun","艦"
"chihō","ちほう","district, province, area","205","Noun","地方"
"Error","","","206","",""
"-ki","き","period (of time)","207","Suffix","期"
"shiro","しろ","castle","208","Noun","城"
"nite","にて","formal version of で (de), indicating location or instrumental","209","Particle","にて"
"chō","ちょう","chief, head, leader","210","Noun","長"
"keikaku","けいかく","a plan, planning, schedule, conception","211","Noun","計画"
"-ban","ばん","(sports) matches","212","Counter","番"
"hitsuyō","ひつよう","needed, necessary","213","Adjective","必要"
"dasu","だす","to take out, to get out","214","Unknown","出す"
"ippan","いっぱん","general, common, ordinary","215","Adjective","一般"
"henkō","へんこう","a change, alteration","216","Unknown","変更"
"-moto","もと","blades of grass and tree trunks","217","Counter","本"
"chūō","ちゅうおう","center/centre, middle","218","Noun","中央"
"kansuru","かんする","concern, have to do with","219","Unknown","関する"
"deru","でる","to leave a place","220","Verb","出る"
"shutsuen","しゅつえん","An appearance (as on a stage or on TV), a performance.","221","Noun","出演"
"tsukuru","つくる","to make [something]","222","Verb","作る"
"Motoi","もとい","A male given name","223","Proper noun","基"
"jigyō","じぎょう","project, work","224","Unknown","事業"
"iin","いいん","committee member","225","Unknown","委員"
"basu","バス","(vehicles) bus","226","Noun","バス"
"ichi","いち","market","227","Noun","市"
"ika","いか","less than; at most, not more than, not exceeding","228","Unknown","以下"
"shakai","しゃかい","a society (group of people sharing culture)","229","Noun","社会"
"kyōiku","きょういく","education","230","Noun","教育"
"jiken","じけん","event, incident","231","Noun","事件"
"toku ni","とくに","specially","232","Unknown","特に"
"sotsugyō","そつぎょう","graduation","233","Unknown","卒業"
"yaku","やく","role, service, use","234","Noun","役"
"tōsho","とうしょ","the initial, the beginning, the original, at first","235","Noun","当初"
"kekka","けっか","the result, effect, consequence","236","Noun","結果"
"senkyo","せんきょ","(politics) election","237","Unknown","選挙"
"kikan","きかん","engine, machine","238","Unknown","機関"
"ōkii","おおきい","big","239","Adjective","大きい"
"kōtō","こうとう","higher, advanced","240","Unknown","高等"
"kakutoku","かくとく","acquisition","241","Noun","獲得"
"seifu","せいふ","government","242","Unknown","政府"
"tatakau","たたかう","to battle, match, war, fight","243","Unknown","戦う"
"Chūgoku","ちゅうごく","China (country in east Asia)","244","Proper noun","中国"
"saisho","さいしょ","firstly","245","Adverb","最初"
"setsuritsu","せつりつ","establishment, foundation, incorporation","246","Unknown","設立"
"oku","おく","to put","247","Verb","置く"
"tane","たね","a seed","248","Noun","種"
"kana-","かな","metal","249","Prefix","金"
"kensetsu","けんせつ","construction, building (of a dam, bridge, or other large project)","250","Unknown","建設"
"-ha","は","group, faction, (political) wing, school","251","Suffix","派"
"tsuzuku","つづく","to continue (for something to continue on its own)","252","Unknown","続く"
"eikyō","えいきょう","influence, effect","253","Unknown","影響"
"bunka","ぶんか","culture","254","Noun","文化"
"-ka","か","department, section","255","Suffix","科"
"hoka","ほか","other (things); the rest","256","Noun","外"
"debyū","デビュー","a debut","257","Noun","デビュー"
"-dai","だい","machines, especially vehicles or computers","258","Counter","台"
"jōhō","じょうほう","information","259","Noun","情報"
"soshite","そして","and, and then","260","Conjunction","そして"
"kōkū","こうくう","aviation","261","Noun","航空"
"mura","むら","village","262","Noun","村"
"seiji","せいじ","politics","263","Noun","政治"
"dōyō","どうよう","equal, same","264","Adjectival noun","同様"
"hanbai","はんばい","sale, selling","265","Unknown","販売"
"men","めん","face","266","Noun","面"
"kotonaru","ことなる","to differ","267","Unknown","異なる"
"tantō","たんとう","charge of, end, responsibility for an area of work","268","Noun","担当"
"mottomo","もっとも","most, -est","269","Unknown","最も"
"tera","てら","temple","270","Noun","寺"
"kōgeki","こうげき","an attack","271","Noun","攻撃"
"jinkō","じんこう","population","272","Noun","人口"
"nagara","ながら","while, during, while doing (verb)","273","Particle","ながら"
"oyobi","および","and, as well as","274","Unknown","及び"
"ku","く","ward, section, district","275","Noun","区"
"uma","うま","a horse","276","Noun","馬"
"puro","プロ","professional","277","Noun","プロ"
"keizai","けいざい","economics; the study of economics","278","Noun","経済"
"tsukeru","つける","attach, affix, stick, fasten, add, add on, append; set, put, put one thing on another","279","Verb","付ける"
"chiku","ちく","zone (area distinguished on the basis of a particular characteristic etc)","280","Unknown","地区"
"ataeru","あたえる","to give something","281","Verb","与える"
"sorezore","それぞれ","each, respectively","282","Unknown","それぞれ"
"nenkan","ねんかん","the period of one year","283","Noun","年間"
"mi","み","water","284","Noun","水"
"kōsei","こうせい","configuration, structure, construct, constitution","285","Unknown","構成"
"rosen","ろせん","a traffic route, a train line","286","Unknown","路線"
"iru","いる","shoot","287","Unknown","射る"
"Amerika Gasshūkoku","アメリカ合衆国","the United States of America","288","Proper noun","アメリカ合衆国"
"kome","こめ","rice","289","Noun","米"
"saiyō","さいよう","use, adopt, adoption","290","Unknown","採用"
"tomonau","ともなう","to accompany","291","Unknown","伴う"
"shugi","しゅぎ","a principle or set of principles; a doctrine; an ism","292","Noun","主義"
"ageru","あげる","to raise, to lift","293","Verb","上げる"
"gurūpu","グループ","a group","294","Noun","グループ"
"josei","じょせい","a woman (adult female person)","295","Noun","女性"
"te","て","hand","296","Noun","手"
"shisutemu","システム","a system","297","Noun","システム"
"rekishi","れきし","history","298","Noun","歴史"
"imi","いみ","a meaning; a significance; a point","299","Noun","意味"
"ippō","いっぽう","one side","300","Unknown","一方"
"moto","もと","cause, origin","301","Noun","元"
"agata","あがた","a historical administrative district","302","Noun","県"
"tsuzukeru","つづける","continue","303","Unknown","続ける"
"gijutsu","ぎじゅつ","technology; technique; technical","304","Noun","技術"
"ataru","あたる","hit","305","Unknown","当たる"
"uchi","うち","house, one's home","306","Noun","うち"
"kaigun","かいぐん","(military) navy","307","Noun","海軍"
"ōyake","おおやけ","official, governmental","308","Noun","公"
"hassei","はっせい","occurrence, incidence","309","Noun","発生"
"seizō","せいぞう","manufacturing","310","Unknown","製造"
"jishin","じしん","[one]self","311","Noun","自身"
"sharyō","しゃりょう","rolling stock; railcar, subway car, etc.","312","Noun","車両"
"hikari","ひかり","a light, a gleam, shining, glittering","313","Noun","光"
"hanashi","はなし","talking; speaking; speech; conversation","314","Noun","話"
"yakyū","やきゅう","baseball (ball game)","315","Noun","野球"
"chōsa","ちょうさ","investigation, examination, inspection, inquiry, enquiry, survey","316","Noun","調査"
"fune","ふね","ship, vessel, larger ship","317","Noun","船"
"shinguru","シングル","a single","318","Noun","シングル"
"-shō","しょう","wins, victories","319","Counter","勝"
"ressha","れっしゃ","(rail transport) train","320","Unknown","列車"
"Tadashi","ただし","A male given name","321","Proper noun","正"
"chichi","ちち","father","322","Noun","父"
"katsuyaku","かつやく","activity, action","323","Unknown","活躍"
"shō-","しょう","saving, conservation","324","Prefix","省"
"shūryō","しゅうりょう","end; conclusion; finish","325","Noun","終了"
"mon","もん","the mon, an old currency","326","Noun","文"
"ui","うい","the first; a start","327","Noun","初"
"zenkoku","ぜんこく","the whole country; the entire nation","328","Unknown","全国"
"shūroku","しゅうろく","collection, writing down, inclusion","329","Unknown","収録"
"jinbutsu","じんぶつ","person, figure, personage","330","Noun","人物"
"Roshia","ロシア","Russia","331","Proper noun","ロシア"
"wataru","わたる","go across, go over","332","Unknown","渡る"
"seisaku","せいさく","production","333","Unknown","制作"
"shūnin","しゅうにん","inauguration","334","Noun","就任"
"saigo","さいご","last, end, conclusion","335","Unknown","最後"
"kaku","かく","write; record (words, figures) on the surface of (something)","336","Verb","書く"
"shita","した","the below","337","Noun","下"
"enjin","エンジン","(engineering) an engine, a mechanical device","338","Noun","エンジン"
"jōtai","じょうたい","the state or condition (of something at a certain time)","339","Unknown","状態"
"katsute","かつて","once, before, formerly, former","340","Unknown","かつて"
"kata","かた","a shape","341","Noun","形"
"hotondo","ほとんど","Alternative spelling of 殆ど","342","Unknown","殆んど"
"hashi","はし","a bridge","343","Noun","橋"
"kettei","けってい","decision","344","Noun","決定"
"heru","へる","pass, elapse, go through a period of time","345","Verb","経る"
"soshiki","そしき","organisation (a group of people)","346","Noun","組織"
"Itaria","イタリア","Italy","347","Proper noun","イタリア"
"asa","あさ","morning","348","Noun","朝"
"teikoku","ていこく","empire","349","Noun","帝国"
"seisan","せいさん","production","350","Unknown","生産"
"hatasu","はたす","accomplish, perform, fulfill","351","Verb","果たす"
"kabushiki","かぶしき","stock (in a company)","352","Unknown","株式"
"umi","うみ","sea, ocean","353","Noun","海"
"kami","かみ","(Shinto, Japanese religion) a spirit or an essence present in all things, the main subject of worship of Shinto","354","Noun","神"
"nendo","ねんど","may start at some time other than New Years","355","Noun","年度"
"moderu","モデル","model","356","Unknown","モデル"
"kaku","かく","to paint; to draw","357","Verb","描く"
"dōro","どうろ","road, street, a way for local traffic","358","Noun","道路"
"-sei","せい","system","359","Suffix","制"
"shi","し","next, secondary","360","Affix","次"
"tadashi","ただし","however","361","Unknown","但し"
"giin","ぎいん","(politics) congressman, Representative, Senator - a member of a legislative body such as the Diet","362","Unknown","議員"
"Kyōto","きょうと","Kyōto","363","Proper noun","京都"
"bubun","ぶぶん","part, section, segment, portion","364","Unknown","部分"
"manga","まんが","a picture drawn as one pleases without restraint (ex. Hokusai Manga)","365","Noun","漫画"
"saidai","さいだい","maximum, greatest, largest[2]","366","Noun","最大"
"meishō","めいしょう","name (for an object)","367","Unknown","名称"
"ishi","いし","stone","368","Noun","石"
"-in","いん","member","369","Suffix","員"
"dokuritsu","どくりつ","independence","370","Noun","独立"
"sho","しょ","document","371","Noun","書"
"shisetsu","しせつ","institution, facility, center","372","Unknown","施設"
"basho","ばしょ","place; location","373","Noun","場所"
"kendō","けんどう","prefectural road","374","Unknown","県道"
"hajimaru","はじまる","to begin","375","Unknown","始まる"
"shimesu","しめす","to show, to have somebody see","376","Unknown","示す"
"ikō","いこう","on and after","377","Unknown","以降"
"samazama","さまざま","Alternative form of 様様","378","Unknown","様々"
"ōkina","おおきな","big, large","379","Adnominal","大きな"
"kurabu","クラブ","a club (association of members)","380","Noun","クラブ"
"kinō","きのう","a function","381","Unknown","機能"
"ama","あま","(archaic) the sky, the heavens","382","Noun","天"
"sakkā","サッカー","soccer","383","Noun","サッカー"
"butai","ぶたい","a military unit","384","Unknown","部隊"
"tōsai","とうさい","loading with, being equipped with","385","Noun","搭載"
"hajimete","はじめて","for the first time, first","386","Adverb","初めて"
"hei","へい","a soldier","387","Noun","兵"
"kōkō","こうこう","(education) high school","388","Noun","高校"
"kōkai","こうかい","opening, release, exhibition","389","Unknown","公開"
"tō","とう","political party","390","Noun","党"
"hensei","へんせい","formation, composition","391","Noun","編成"
"undō","うんどう","athletics, exercise","392","Unknown","運動"
"ryō","りょう","volume, amount","393","Noun","量"
"jiki","じき","a season","394","Noun","時期"
"sentā","センター","a center (point equidistant from all points on the perimeter of a circle or on the surface of a sphere)","395","Noun","センター"
"seisaku","せいさく","manufacture","396","Unknown","製作"
"-han","はん","fiefdom, domain","397","Suffix","藩"
"tsuyoi","つよい","strong, durable, powerful","398","Adjective","強い"
"kigyō","きぎょう","enterprise","399","Noun","企業"
"jushō","じゅしょう","winning a award","400","Noun","受賞"
"tsuku","つく","attach itself to, stick, stick to, adhere, adhere to; be connected with","401","Unknown","付く"
"in","いん","(historical) Ex-emperor, ex-empress or entitled as equal-to-emperor/empress in cloister (derived from mansion; the highly nobles are not addressed directly, but with their residence as substitution)","402","Noun","院"
"mise","みせ","a commercial building; a store; a shop","403","Noun","店"
"sentō","せんとう","a battle, a fight, combat","404","Noun","戦闘"
"musubu","むすぶ","tie (a string, rope, sash, etc.)","405","Unknown","結ぶ"
"mokuteki","もくてき","a purpose; a goal","406","Noun","目的"
"tsūjō","つうじょう","ordinary; conventional; normal","407","Adjective","通常"
"taiō","たいおう","correspondence to[2]","408","Noun","対応"
"nokoru","のこる","remain, be left","409","Unknown","残る"
"shōri","しょうり","victory","410","Noun","勝利"
"hōmu","ホーム","(travel) platform","411","Noun","ホーム"
"kanri","かんり","management, control; stewardship; administration","412","Noun","管理"
"itaru","いたる","lead to (a place), be bound for","413","Verb","至る"
"-dan","だん","group; team; gang","414","Suffix","団"
"ki","き","a tree; a shrub","415","Noun","木"
"saishū","さいしゅう","the last, the final","416","Noun","最終"
"kihon","きほん","foundation, basis, standard","417","Noun","基本"
"kyōju","きょうじゅ","professor","418","Noun","教授"
"dorama","ドラマ","drama","419","Noun","ドラマ"
"ageru","あげる","raise","420","Unknown","挙げる"
"kōzō","こうぞう","structure; construction","421","Unknown","構造"
"sakkyoku","さっきょく","(music) composition","422","Unknown","作曲"
"anime","アニメ","(animation, anime) anime, Japanese animation","423","Noun","アニメ"
"sekkei","せっけい","plan","424","Unknown","設計"
"jisshi","じっし","practice, execution, enforcement, putting into effect","425","Unknown","実施"
"Error","","","426","",""
"nagai","ながい","long","427","Adjective","長い"
"menbā","メンバー","member, a person who is in a group","428","Noun","メンバー"
"Error","","","429","",""
"kōtsū","こうつう","transportation","430","Noun","交通"
"shitsu","しつ","room","431","Noun","室"
"kyōkai","きょうかい","association; organization","432","Noun","協会"
"joshi","じょし","girl; woman","433","Noun","女子"
"mono","もの","person","434","Noun","者"
"settei","せってい","setup","435","Noun","設定"
"hakken","はっけん","discovery","436","Noun","発見"
"keiyaku","けいやく","contract, agreement","437","Unknown","契約"
"shin","しん","trust, faith","438","Noun","信"
"Eigo","えいご","the English language","439","Proper noun","英語"
"seikatsu","せいかつ","life; livelihood; daily living.","440","Noun","生活"
"rengō","れんごう","union, alliance, combination","441","Noun","連合"
"jidōsha","じどうしゃ","automobile, car, motorcar","442","Noun","自動車"
"shiki","しき","command, direction","443","Unknown","指揮"
"iro","いろ","color (US), colour (UK)","444","Noun","色"
"jibun","じぶん","oneself","445","Noun","自分"
"oyobu","およぶ","reach, extend to, cover, span, run to","446","Unknown","及ぶ"
"rajio","ラジオ","radio","447","Noun","ラジオ"
"uta","うた","a song","448","Noun","歌"
"he","へ","a division","449","Noun","重"
"kibo","きぼ","scale, scope, extent, dimension","450","Noun","規模"
"iseki","いせき","entering a different household registry","451","Unknown","移籍"
"omou","おもう","to think, to deem","452","Verb","思う"
"haishi","はいし","abolition, abolishment, abrogation, discontinuance, dissolution, repeal, elimination - removal of law or the social system structure","453","Noun","廃止"
"namae","なまえ","a name (word or phrase indicating a particular person, place, class or thing)","454","Noun","名前"
"jūyō","じゅうよう","important, significant","455","Adjectival noun","重要"
"seikō","せいこう","success","456","Noun","成功"
"hara","はら","meadow, plain, field","457","Noun","原"
"yotei","よてい","schedule","458","Unknown","予定"
"tokubetsu","とくべつ","special","459","Adjective","特別"
"mitomeru","みとめる","to admit, to approve, to allow","460","Unknown","認める"
"kyarakutā","キャラクター","character, a fictitious person or creature","461","Noun","キャラクター"
"-kan","かん","volume of a book","462","Counter","巻"
"saikō","さいこう","The highest; the best; supreme","463","Noun","最高"
"kuwaeru","くわえる","add, sum up","464","Unknown","加える"
"koko","ここ","(deictically) this place, area, or part (near the speaker). Can be juxtaposed with a phrase with で or に.","465","Unknown","ここ"
"bando","バンド","band, a clothing accessory","466","Unknown","バンド"
"futatabi","ふたたび","again","467","Unknown","再び"
"mu","む","military, martial","468","Affix","武"
"jissai","じっさい","practicality","469","Unknown","実際"
"soko","そこ","(deictically) That place, area, or part near you. (near the addressee)","470","Unknown","そこ"
"niru","にる","to resemble, look like","471","Unknown","似る"
"kumi","くみ","class, group, team, set","472","Noun","組"
"unten","うんてん","driving, steering (a vehicle)","473","Unknown","運転"
"senmon","せんもん","speciality/specialty; subject of study; subject of expertise; profession","474","Unknown","専門"
"shuppan","しゅっぱん","the selling and distribution of printed works; publication, publishing","475","Noun","出版"
"naiyō","ないよう","contents (something inside a container)","476","Noun","内容"
"iru","いる","fry, broil","477","Verb","煎る"
"-ko","こ","item, article, thing","478","Counter","個"
"shōgakkō","しょうがっこう","(education) elementary school, first school","479","Noun","小学校"
"gi","ぎ","a situation which has a right and proper reason","480","Noun","義"
"sū","すう","number","481","Noun","数"
"owaru","おわる","to end, to finish, to quit","482","Verb","終わる"
"rei","れい","example, instance","483","Unknown","例"
"rirīsu","リリース","release (letting go, freeing)","484","Unknown","リリース"
"awaseru","あわせる","put together","485","Verb","合わせる"
"taisen","たいせん","a great war, a great battle","486","Noun","大戦"
"kagaku","かがく","science","487","Noun","科学"
"unkō","うんこう","service of a form of transportation","488","Unknown","運行"
"tai","たい","versus","489","Conjunction","対"
"Hokkaidō","ほっかいどう","札幌 (Sapporo) city","490","Proper noun","北海道"
"shi","し","samurai, warrior","491","Noun","士"
